Etr,Erot1_in,Erot2_in,Etr_out,Erot1_out,Erot2_out
9.075981639470543e-22,1.3489610345796356e-22,4.289848934214011e-21,9.95571645932647e-22,4.144741374750653e-21,1.9073740792284728e-22
2.2689934733012976e-20,5.7150448566436485e-22,3.280122070711089e-22,1.4631231672444824e-20,7.094737804852727e-21,1.864425388994444e-21
2.4248606656756984e-21,2.6385698280816258e-21,1.8614428973728348e-21,3.2201377217379813e-21,3.584153011012827e-21,1.206452808791637e-22
2.802373906125455e-21,1.0982601119853364e-22,1.7834450307392497e-21,4.1573855925315574e-21,2.3769639093118847e-22,3.0075082718014783e-22
9.905396658017409e-21,3.4547872263478386e-21,4.742568499679521e-21,1.1209382569454872e-20,6.16079536376444e-21,7.3327063276781215e-22
1.132379461043204e-21,2.8886355551796004e-21,3.0611596022601305e-21,6.834505816475597e-22,1.6209074540252192e-21,4.777055914670962e-21
5.453039272631082e-21,2.788190539511955e-21,1.766253919933952e-21,5.665049947679159e-21,5.452667493270491e-22,3.79648494120751e-21
7.64734800217192e-21,6.2231889314552145e-21,5.090406163630436e-21,1.4817135878389223e-20,1.4962292663073346e-21,2.64745232920906e-21
2.751793939164322e-21,2.2092408946526493e-21,6.432541109690437e-22,2.0995962257390634e-21,8.963108103499561e-22,2.607887044879895e-21
2.4817607455061707e-21,1.3520676211015821e-21,1.7459992016755666e-21,2.8187048105897697e-21,2.474198693071843e-21,2.868011856209545e-22
9.806458901935858e-21,1.2680114491083322e-22,1.2580926087869095e-22,6.2597556313728176e-21,2.813611473337078e-21,9.848393111270136e-22
1.0457824909618129e-20,9.478359242240362e-22,9.099539288267946e-21,1.5706042987733e-20,1.6883706505744415e-23,4.782124049407817e-21
3.4200639851988684e-21,7.66470970218116e-21,1.2225671661514343e-22,7.47657358343627e-21,3.2339701841331994e-21,4.968486950500882e-22
7.662159769888283e-21,2.4576722067424982e-23,7.349616669790502e-22,6.122150374787024e-21,1.871998598498503e-21,4.271092240677243e-22
4.909648340065281e-21,6.011856828298985e-21,7.419795629151663e-22,2.4315952890046668e-21,4.4757248920779076e-21,4.7564170449145564e-21
1.3913064080928265e-20,5.999395130019013e-21,2.8004334506634446e-21,1.0919729195042248e-20,1.1199577897863016e-20,5.929317506282652e-22
2.871880144330695e-20,1.0275161186843547e-21,2.3988562888807703e-21,1.8721695643333308e-20,4.3515021467315326e-21,9.071511872619585e-21
2.717714767572541e-21,3.1501184394808733e-21,7.171879419975108e-21,8.471697431602125e-21,1.7603135706356677e-21,2.807407002605448e-21
8.97030977679229e-21,9.354923168057553e-23,4.657499126943338e-21,1.1430654771106926e-20,1.8400660578457482e-21,4.506177589504591e-22
8.966554463387998e-22,4.4144406659896156e-21,4.006477411256121e-21,3.725230800357196e-21,2.39280240624265e-21,3.200531777524272e-21
2.8769944432476776e-20,1.3119789200152295e-21,8.148674564686382e-22,1.8345503960215583e-20,3.0030137870505167e-21,9.548199616310557e-21
1.49037474916961e-20,6.816197923974377e-23,3.317029988814763e-21,1.2675050777744618e-20,4.317303637435275e-21,1.2968896562680872e-21
2.5817061283848245e-21,1.806102977551107e-21,4.979032223464708e-21,3.4027504723563516e-21,3.398117763283332e-21,2.5653549667197497e-21
1.9348120968065013e-20,8.10745197738537e-21,1.0534704426216003e-20,1.4247684981409374e-20,1.6058278116283525e-20,7.68387907685159e-21
1.605332090466565e-21,4.113726560222124e-21,2.852239969331062e-21,5.899763822785166e-21,5.197449975054956e-23,2.620065785975037e-21
1.0613823480136775e-20,2.9959488158204475e-21,1.1123152742253135e-21,6.7671590288911455e-21,2.9315222346857585e-21,5.0237113292625395e-21
2.7578727554882787e-21,2.1129899514623183e-21,6.227623277449201e-21,6.514252184198951e-21,4.002328273961063e-21,5.821706290214432e-22
1.428811657556649e-20,7.386387488470576e-22,2.5920272855449295e-21,8.760257430496475e-21,1.8813551559948107e-21,6.977237211083128e-21
4.37382824310343e-21,5.558974528589058e-22,1.164221794031305e-20,7.662975735704985e-21,1.0300308902583053e-21,7.879326066723658e-21
6.5430276973374246e-21,1.3964435240258065e-21,1.6640156587098712e-21,2.311155697759183e-21,5.910931155099285e-21,1.3820170738855247e-21
2.701314747691423e-21,8.896506010025172e-22,3.081540257080677e-22,2.3657881220653033e-21,1.6970447039304318e-22,1.364498308301917e-21
1.0367796315717088e-21,1.487272671575527e-21,3.025591121295569e-21,4.535285908067279e-21,1.1376994601131285e-22,8.997897340772237e-22
1.018929879472834e-20,5.404990642489369e-21,2.5547308203877588e-21,9.235271503042452e-21,3.33528944825873e-22,8.578584611429642e-21
